original_text,processed_text
sebenernya orang ini pinter lho..asli pinter..<br>sesuai pendidikan dan pengalaman politiknya asli pinter..<br>tp sayang..<br>bacotmu murah..<br>atimu elek<br>otakmu buruk<br>jadilah engkau si pandir mbah...,sebenernya orang ini pintar lho asli pintar sesuai didik alam politik asli pintar sayang bacot murah ati elek otak buruk engkau si pandir kakek
amin rasis..amin rasis mbok Yo kelingan umur....😂😂😂,ras ras iya keling umur
Sependapat dgn pak Amin,dapat
Ala kamu ngomong ap min,ala kamu ngomong ap min
Astaghfirullah... Aku berlindung kepada Allah dari orang tua ini,astaghfirullah aku lindung orang tua ini
Trus kmu manusia apa???,trus kamu manusia
"wes to mbah mbah anda itu dah tua. bicara yg sopan santun bkan malah umbar aib sodara sebangsa. apapun itu p jokowi ttap RI. tolong hilangkan sifat iri dengki riak dsb. smua anak bangsa ini sdah tahu siapa Lu, jejak digital tdk bisa berbohong. siapa yg ambisius..?? siapa yg benar2 kerja untuk rkyat,,,?? siapa yg menghina,,?? siapa yg jadi toxic di negara ini,,?? <br>Thn 1998 anda hilang ke mana..?? <br>Bukan negarawan sejati jika slalu yg dihirup kotoran. yg akhirnya mncul di otak dan hatinya kotoran juga. <br>Saya biasa aza g ada yg salah atas RI 1..??",kakek kakek itu tua bicara sopan santun bkan umbar aib sodara bangsa apa itu tap ri tolong hilang sifat iri dengki riak dsb smua anak bangsa ini sdah kamu jejak digital bohong ambisius kerja rkyat menghina toxic negara ini thn hilang negarawan sejati slalu hirup kotoran mncul otak hati kotoran aza salah ri
Orang ini kok selalu ngomongnya jelek.,orang ini ngomongnya jelek
Udah tua bangka bau tanah gak punya partai politik masih aja ngebacot yang gak guna,udah tua bangka bau tanah partai politik aja ngebacot
Astaghfirullah pembenci,astaghfirullah benci
Amin taek,taek
Palak kaba Amin Rais..,palak kaba
Kpn jalan kaki dr jakarta ke Jogja pk,kpn jalan kaki jakarta jogja
"Ini la org bodoh, nasip ada pak jokowi yg berani tegas, terhadap indonisia beyak bagunan, x memalukan lihat negara tetagga bodoo",ini la orang bodoh nasip berani indonisia beyak bagunan x memalukan lihat negara tetaga bodo
"Amin rais ini lebih bodoh lebih tengil, pikun x ya agamanya apa sih , sukanyamenjelekkan orang lain, kalo Islam gak kaya gitu",ini bodoh menyebalkan lupa x ya agama sukanyamenjelekan orang kaya
astohfirulloh halngadim,astohfiruloh halngadim
Min dicari min😂,min cari min
"Inilah sosok mahluk gelandangan politik yg selalu ngablak setiap saat, GusDur pernah mengatakan Amin Rois akan jadi gelandangan politik. <br>Benar adanya",ini sosok mahluk gelandangan politik ngablak rois gelandangan politik
Kenapa amin rais keluar dari partai pan alasannya pak amin nakal.itu singkatan dari pan.,partai pan alas nakal itu singkat pan
Sampai alam baka pun makhluk ini tetap berorasi politik melawan bebuyutannya.,alam baka makhluk ini orasi politik lawan bebuyutan
Banyak ngomong luhh ?  istifarr2 kiii? Udah tua mengumbar keburukan teruss? Ingat mati kiii?,ngomong luh istifar ini udah tua umbar keburukan mati ini
"Wes tuwek mancla, mencle 😊",tua mancla mencle
"Orang kalau ngak dapet kue yah begitu itu Mbah amin cari sensasi supaya dapat kursi Mentri sadar Mbah ente uis tue malu sama umur, cucu dan etika budaya",orang ngak dapet kue yah itu kakek cari sensasi kursi tri sadar kakek ente uis tue malu umur cucu etika budaya
yg aku herankan....anak2 dari amin rais...kok diem aja ya..liat org tuany kyk bgini...omonganya...???,aku heran anak diem aja ya lihat orang tuany kyk bgini omonganya
"Orang paling bodoh di muka bumi ini adalah orang yg paling merasa paling pintar,,padahal di situloh kebodohannya semakin kelihatan",orang bodoh muka bumi ini orang pintar situloh bodoh
Sejatinya apa yg anda ucapkan adalah karakter anda sendiri.<br>Ngerti ora min...<br>Amin Rais tinggal menunggu waktu di sholatkan.,sejati ucap karakter ngerti min tinggal tunggu sholatkan
Anda adalah org tergoblox yg ada di indonesi,orang tergoblox indonesi
Tobat mbaaaaah tobaaaatt,taubat kakek taubat
Jangan suka membuka aib orang lain....kaya diri ya paling bener sajah....,suka buka aib orang kaya ya sajah
"Pak Jokowi sudah membuktikan kinerjanya,kami bangga kepada Pak Jokowi sehat selalu skluarga, Aamiin",bukti kerja bangga sehat skluarga
Ni  aki aki ko msh hidup ja..,ini kakek kakek hidup ja
Tidak ada orang Islam kok merendahkan sesama pemeluk agama Islam sendiri kecuali BPK profesor Amin rais yang dungu,orang merendahkan peluk agama kecuali profesor dungu
Allah swt kang weru <br>Bagen kang menghina pak jokowi semoga ada balasannya dari allah swt<br>Yang sabar ya pak jokowi,swt kang weru bagen kang menghina moga balas swt sabar ya
Kacau,kacau
Ari ngomong sembarangan bae pak amin rais<br>Abong2 bli di pilih ning rakyate jadi ngomongi bae pak jokowi,ari ngomong sembarang bae abong bli pilih ning rakyate ngomongi bae
Mbah kucluk,kakek kucluk
"Hoalah.... Mbah&quot; Ngak tengok umur udah waktunya pikun masih banyak omong, udah ngak laku omonganmu, dasar glandangan pilitik",hoalah kakek kutip ngak tengok umur udah lupa omong udah ngak laku omong dasar gelandangan pilitik
"Mbah amin,drmh add kaca gk???<br>Srius nanya.",kakek drmh ad kaca srius nanya
Mulutmu Hati&quot; mbaaah... Lh Hmmmm,mulut kamu hati kutip kakek lh hm
Kok jik onok menungso koyok sengkuni..,jik onok menungso koyok licik
Hla wong pelat..kok jik ngomongno wong liyo...seumpomo amin jd presiden jd opo RI...biasae klo ngomongnon org lain goblok...podo karo ngomongno awak e dewe...min amin .koen iku ws g uman nggon....,hla orang pelat jik ngomongno orang liyo seumpomo presiden ri biasae ngomongnon orang goblok podo karo ngomongno awak dewe min koen itu ws uman ngon
"Orang terbusuk di Indonesia, adlah yg berkata",orang busuk indonesia adlah
Mulutny kok kotor ya,mulutny kotor ya
"Jabang bayi lanang wedokk... 😫<br><br>Tokek gelandangan muncul , orang ter Kere di indo dalam Partai Politik.",jabang bayi lanang wedok tokek gelandangan muncul orang ter kere indo partai politik
Ha..ha..ha...Amin Rais ini  dedang menceritakan dirinya sendiri yaaa.....😅😅😂,ha ha ha ini dedang cerita ya
Tuwek stres cancukkk asuuuu,tua stres cancuk anjing
Ksta pausss bhong takp,ksta paus bhong takp
"Betul, trimakasih sudah mwakili hati rakyat kecil seperti saya",trimakasih mwakili hati rakyat
Ngomong opo mbah miiiin,ngomong kakek min
Bener kata almarhum abah gus dur.<br>Orang gelandangan politik..<br>Mondar mandir kesana kemari.<br>Kerjanya mengkhayal terus..<br>Di massa akhirnya hidupnya<br>Mati segan..hidup tak mau.,almarhum abah orang gelandangan politik mondar mandir kesana kemari kerja khayal hidup mati segan hidup
"Tolong sisakan satu ruangan  di rumah sakit jiwa untuk Amin rakus,.. kasihan biar cepat waras dia",tolong sisa ruang rumah sakit jiwa serakah kasihan biar cepat sehat dia
Ko seorang ulama bicaranya seperti ini&#39; manusia munafik amin rais,ulama bicara ini manusia munafik
AMIN RAIS goblok,goblok
Padahal yg tengil kamu😂😂😂😂,menyebalkan kamu
Semoga pk amin rais diberi hidayah dn di ampunin dosa2nya,moga hidayah ampunin dosa
"Memang sangat pencifta itu bisa membuat manusia ,Sesuai antara muka dan ucapan s Amin Rais ,,menjadi seorang dorna 😂😂😂",sangat pencifta itu manusia sesuai muka ucap s dorna
Mau mati kelakuan masih kaya gitu,mati laku kaya
Alaaahhh....nyatane rakyat sampe saat ini ..masih banyak yang menyukai dan mengidolakan....,alah nyatane rakyat sampe ini suka idola
Yaaa Allah.. Kok dri awal mencalonkan diri jd capres.. Kok selalu menjelek jelekan lawan yaaa?! 😮😮,ya dri calon capres jelek jelek lawan ya
Gelandangan yang ada di politik Indonesia ini si Amin yg jadi gelandangan yang tidak di butuhkan untuk Indonesia,gelandangan politik indonesia ini si gelandangan butuh indonesia
Anjing&#39; menggonggong,anjing gonggong
"Amin rais politisi yg tak terburuk sepanjang sejarah indonesia, sehingga partai PAN aja tidak mau lagi ada nya amin rais di dlm partai mereka. Jokowi tetap terbaik sepanjang sejarah presiden indonesia hingga detik ini",politis terburuk sejarah indonesia partai pan aja nya dlm partai baik sejarah presiden indonesia detik ini
Ini orang pembuat masalah,ini orang buat
maklum sdh tua dia sedang membicarakan diriny sendiri yg tdk punya moral,maklum tua dia bicara diriny moral
Sulit mati orang kaya gitu.beneran deh,sulit mati orang kaya beneran deh
anda terpuruk min🤣🤣🤣🤣,puruk min
Matino wae mbah&quot;,matino kakek kutip
Saya kasihan Ama ibu nya Amin rais.dia nyesel punya anak suka jelek jelekin orang lain.padahal dia sendiri kelakuannya super jelek😂,kasihan ama nya dia nyesel anak suka jelek jelekin orang dia laku super jelek
Pelawak politik g ada sponsor nie Amien😂😂😂😂😂😂,lawak politik sponsor nie
"Setuju,,, Mba amiin,😂😂😂😂",tuju mba
Amin GK punya moral,moral
Aku bisa kumat melihat amin rais oni plonga plongo.,aku kumat oni bingung bingung
Tdk baik seperti itu pak. Itu justru menunjukkan bahwa Bpk orang yg tdk beradap,itu itu orang adap
Ngomong apa itu kamu Rais?,ngomong itu kamu
Minn minnn..insyaf mu kpn minnn..udah tuwir insyaf minn,min min insyaf kamu kpn min udah tuwir insyaf min
"Sangat Benar Pernyataan bapak presiden Gus Dur, bahwa si Amin Rais inilah Penghianat, Pemecah belah Bangsa Gelandangan Politik...",sangat pernyatan presiden si ini penghianat pecah belah bangsa gelandangan politik
Malu maluin sendiri..ngaca dlu maks nya,malu maluin kaca dlu maks nya
"Cuma ini cara AR utk tetap bisa keliatan eksis di jagat politik, partai baru ambyar,<br>karya sudah gk bisa, pemikiran sudah mentok … wes mau gimana lagi",ini ar liat eks jagat politik partai ambyar karya pikir mentok gimana
"Lha kamu penampilane piye lo mbah,tiap kali denger ucapamu perutku muneg 2,mules pengen muntah miin",lha kamu penampilane piye kamu kakek kali denger ucapamu perut muneg mules ken muntah min
Orang berilmu ga pantas min,orang beril min
"gedabrus min amien,gek kontribusimu untuk negara yo opo,apapun ocehanmu pak Jokowi tetap di hati rakyat/wong cilik seperti kami, sudah tua mbok eling dan banyak&quot; istighfar dan taubat jangan tua&quot; keladi makin tua makin menjadi, jadi apa jadi SENGKUNI.",gedabrus min gek kontribusi negara iya apa oceh hati rakyat orang cilik tua kutip taubat tua kutip keladi tua licik
Orang udah ga ada yang prcaya sama amin rais,orang udah prcaya
Dah tua min ingat umur lu juga ga becus pimpin negri inih,tua min umur kamu becus pimpin negri inih
"Ngomong OPO kang Raiss,",ngomong kang
Aki2 kek gini seumpama di masukin karung apa dosa,kakek umpama masukin karung dosa
Hahahaha.....hanya bisa begitu dia.....padahal dianya juga gak kepakai sama pemerintahan....bisanya nyinyir muluuuu......sadarlahhh.....sdh tuwo.....,hahahaha dia dia pakai perintah bisa ngomong mulu sadar tuwo
"Itu adalah perkataan orang nganggur, gak di lirik dan sakit hati..",itu kata orang ngangur lirik sakit hati
Mbah sudah bau tanah tobat senkuni   tobat jangan nambahin dosa,kakek bau tanah taubat senkuni taubat nambahin dosa
Aki&quot; stresss.,kakek kutip stres
Terus kamu udah dijalanin belum is rais yg jln kaki itu dulu jt&quot;loh bisa kuwalat kalo ngga di jlnin,kamu udah dijalanin jln kaki itu jt kutip loh walat jlnin
Gak mampu untuk berkomentar ..,komentar
yak apun Bpk Amin  fawas.Anda sudah kempis kempis kok tidak insaf 2 sih kata tahu agama tapi kok  makin seperti orang yg sangat2 setres dan gila,yak apun fawas kempis kempis insaf agama orang sangat tres gila
ini konten amin Rais untuk medapatkan uang akan lebih baik tidak usah komen,ini konten medapatkan uang komen
"Sudah akik&quot; tapi gak sadar dini ini kakek amin, bikin malu",akik kutip sadar ini kakek bikin malu
Ki wong edan,ini orang gila
SENGKUNINYA INDONESIA😂😂😂makin menggilaa,sengkuninya indonesia kila
Cangkemu iku tetpuruk duooboll,mulut itu tetpuruk duobol
Indonesia tidak butuh org spt ini,indonesia butuh orang spt ini
Astikpar amin ga boleh gitu ya,astikpar ya
Terburuk menurut mu mbah tapi bagi kami pak jokowi tetap pahlawan,terburuk kamu kakek pahlawan
Saya rakyat melihat anda menjijikan,rakyat jijik
"Pak..perbanyak istigfar ingat umur pak , sekarang ini bapak amin rais udah sepuh sudah seharusnya perbaiki diri perbaiki ahlak dan menjaga ucapan ...jangan terus memperkeruh suasana negara yang sekrang udah ganti pemimpin, seandainya pak amin masih punya dendam sama pak jokowi..yaudah datangin aja ke solo . Jangan terus umbar dgn ucapan2 yang  sekiranya bisa memperkeruh suasana ..",banyak umur ini udah tua baik baik ahlak jaga ucap keruh suasana negara sekrang udah ganti pimpin anda dendam yaudah datangin aja solo umbar ucap keruh suasana
Naudzubillah ini orang tua ngak eleng2&#39;bentar lagi kena karma kamu mbah,naudzubilah ini orang tua ngak eleng bentar kena karma kamu kakek
"Owalah men2 opo seng bok omogong no   iku,,  ko ngomong nya  kaya itu ngak delok  cidok e dewe",owalah bok omogong no itu ngomong nya kaya itu ngak dok cidok dewe
Ente terus apa sengkuni yang akan membusuk di liang lahat,ente licik busuk liang lahat
Sudahlah mbah sampeyan tobat ae,kakek sampeyan taubat aja
Amin sadarlah,sadar
Gelandangan politik sang sengkuni,gelandangan politik sang licik
Teerbaik didunia,baik dunia
"Ini jga prang tua sdh nau Tanah, msh ska kritik2, dasar .manusia BINATANG,,,Anjing kau Amin RAIS,,,",ini jga prang tua nau tanah ska kritik dasar manusia binatang anjing kau
Banyak sekali sebutan untuk pak jokowi... Oleh amin rais,sekali sebut
Mbah min sengkuni..,kakek min licik
Aki aki tolol bin dongo,kakek kakek tolol dongo
kebalik min,balik min
"Org ini bisanya memang menghujat, padahal blm tentu ia lbh baik dr org yg dia hina. Klo dia memang org baik di negeri ini mulai dulu ia akan jd presiden tp fakta nya rakyat malesssssss arep milih amin raissssssssss.",orang ini bisa menghujat lbh orang dia hina dia orang negeri ini presiden fakta nya rakyat males arep milih
Udh tua bukan nya tobat lu Amin Rais kain kafan menunggu,tua nya taubat kamu kain kafan tunggu
Lah apa yg dihasilkan Amin Rais ...untuk negara Indonesia...sudahlah makin tua harusnya....sadar diri...gak usah jelek2kin pak Jokowi.,hasil negara indonesia tua sadar jelekin
Wong pekok...dah tua malah g bs d contoh...pantes jd sengkuni😅😅😅😅😅,orang kok tua bs contoh pantes licik
Ini org kapan tobatnya??,ini orang tobat
ga malu mbah ngomong begitu ?,malu kakek ngomong
Galau....pak rais,galau
Tolong segera suruh minum obat..,tolong suruh minum obat
iki wong lambe turah,ini orang lambe turah
"Memang benar jokowi presiden terburuk di dunia <br>Yg mau hebat sama gua <br>Jawab ini ya <br>Negara ini anti PKI, anti komunis <br>Tapi di pro pki komunis <br>Trs jalan tol di palembang lampung itu sejak jaman SBY sudah ada tapi masih sepi dan di persetujui dgn preaiden jokowi baru rame <br>Gua dukung nih orang",presiden terburuk dunia hebat gua ini ya negara ini anti pki anti komunis pro pki komunis trs jalan tol palembang lampung itu jaman sby sepi tuju preaiden rame gua dukung ini orang
Min..... Min.... Wis tuwek ate ngelenk mbak dank tobat,min min tua ate ngelenk mbak dank taubat
Amin terbagus di kamar mandi lagi. Ngo...........?😄😄😄😄,bagus kamar mandi ngo
O walah kakek kakek ni ada gk kaca di rmh kakek....,o walah kakek kakek ini kaca rmh kakek
Rais2 itulah orang kalo tidak tercapai cita2 nya jadi nglantur bicaranya kasian di perlu obat penenang yg dosis tinggi kasian dia😅😅😮😮,orang capai cita nya nglantur bicara kasi obat tenang dosis kasi dia
Semakin tua semakin memalukan ini orang 😂,tua memalukan ini orang
Ini yg d namakan gelandangan politik negara kita...apa kita percara sama amin raissss....,ini nama gelandangan politik negara cara
Amin rais manusia yg punya hati terburuk,manusia hati terburuk
Ini mahluk yg nggak perna alias gagal jadi pejabat si Amin rais hanya bisa menghujad orang.....dia sendiri bisa apa?,ini mahluk perna alias gagal jabat si menghujad orang dia
Org klu menghina lain sm dg menghina diri sendiri...tobato pak pak..,orang menghina menghina tobato
Sdh tua tobat to pak amin rais..kyk mau.hidup terus di dunia...gk usah menghina org...ingat besok mati gk tau...ingat itu ingat allah pak..,tua taubat kyk hidup dunia menghina orang besok mati itu
Kalian tak tau obat beliau sudah habis. Stok pun tk ada d apotik krna pnyakitnya yg susah untk d mengrti,obat beliau habis stok tk apotik krna pnyakitnya susah untk mengrti
"Engkle dl ki katanya kl abah kalah mau jalan engkle ke Jawa, bayar  najarnya ki. Buktikan kl kamu  bs bayar najar. 😢😢😢😢 hayo ki bayar najar panggil wartawan  biar abah tau. 😢😢😢😢😢",engkle dl ini kl abah kalah jalan engkle jawa bayar najarnya ini bukti kl kamu bs bayar najar hayo ini bayar najar panggil wartawan biar abah
"Mbahmin ngomongin dirinya sendiri , betul apa kata guru besar GUS DUR",mbahmin ngomongin guru
Disinilah terlihat jelas.....kecerdesan tidak berguna ketika hati menjadi busuk...gak inget dosa qpa ya...udah tua juga... MENJIJIKAN ..,kecerdesan guna hati busuk dosa qpa ya udah tua jijik
🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣abang abah anies KTP gk pnyak angin,abang abah anies ktp pnyak angin
Dasar sengkuni gendeng,dasar licik gendeng
Sudah Amin  Anda sudah tua biar yang mudah yang memimpin negara ini apa yang anda perbuat di negeri ini,tua biar mudah pimpin negara ini buat negeri ini
Ga salah tu bapa ngomong kalo mau ngomong koreksi diri sendiri dulu emang udah bener,salah itu bapa ngomong ngomong koreksi emang udah
Malu x lu,malu x kamu
Duh maap pasien saya kabur tadi pagi,duh map pasien kabur pagi
Menurut saya omonganya Mbah amin mencerminkan dia sendiri tidak ada sedikitpun di pak jokowi😅😅,omonganya kakek cermin dia sedikit
Tapi memang bener gak sih faktanya begitu yg amin sampaikan.,fakta
Tua bangkai,tua bangkai
"Waw gelandangan politik sedang koment,pak ,BPK ini udah tua bukanya membangun nkri,malah nkri slalu di obrak Abrik dgn mulut kotornya,suka menghujat sesama warga Indonesia.tobatlah pak Amin?",waw gelandangan politik koment ini udah tua buka bangun nkri nkri slalu obrak abrik mulut kotor suka menghujat warga indonesia tobat
Hmmm anak kecil aj tau kalau antum itu udah lbih dari yg di katainn,hm anak aj antum itu udah lbih katain
"Raden mas Sangkuni,istirahat wae mbah",raden mas sangkuni istirahat kakek
"Udah tua pak, mbok yoo ibadah mawon mempersiapkan sakratul maut dan kehidupan yg kekal dan abadi",udah tua iya ibadah mawon sakratul maut hidup kekal abadi
"Ini orang bener bener salah obat,politikus gelandangan.",ini orang salah obat politikus gelandangan
Bau bangkai masih berisik terus min min... asyu,bau bangkai berisik min min asyu
"Sesungguhnya orang yang tidak beradab adalah dia yg merendahkan orang lain.,dan penyandang gelar tidak menjamin akhlak orang jadi baik..",sungguh orang adab dia merendahkan orang sandang gelar jamin akhlak orang
Seratus persen,ratus persen
Cangkeme sengkuni,mulut licik
Artinya dia lgi menceritakn dirinya sendiri ...<br>Plorlar plolor dan ngecuis .,dia lgi menceritakn plorlar plolor ngecuis
orang suka fitnah,orang suka fitnah
Amrin Rais gobblok,amrin goblok
"Oalah pak Rais apa kamu orang baik, ?,",oalah kamu orang
Apa maunya man rais reh....,mau man reh
Xg paling buruk sebenarnya Amien Rais SDH tu dungu pikun,xg buruk itu dungu lupa
"Ini orang steres,,,,d Indonesia,,,",ini orang steres indonesia
Muka mu yg buruk ..udah tua bau Tanah masih aja ga tobat&quot;,muka kamu buruk udah tua bau tanah aja taubat kutip
Amien Rais Jenis spesies mulutnya terburuk sepanjang sejarah bangsa Indonesia,jenis spesies mulut terburuk sejarah bangsa indonesia
Ada benernya juga amien rais,benernya
Mbah..mbah amin..pny masalah apa sich sm pak jokowi smp segitunya mbah amin benci..temui dong jgn koar2 di media..pak jokowi tetap yg terbaik 👍,kakek kakek pny sich smp segitunya kakek benci temu koar media baik
Sayapun tegas.amin rais titisan iblis.,saya titis iblis
"Bodoh teriak bodoh, 😂😂😂😂",bodoh teriak bodoh
Sebetulnya Amin rais mengakui Bpk.Jokowi dgn tampilan yg sederhana tapi punya kemampuan luarbiasa ...cuma dia malu mengakui makanyaa semua yg disampikn kebalikannya😅😅ya Allah tambh tua kelihatan asli sifat jahatnya,aku tampil sederhana mampu luarbiasa dia malu aku disampikn balik ya tambh tua asli sifat jahat
Min&quot;...koe tu udah bau tanah<br>Jangan terus&quot; buat dosa itu bibir lu bener&quot;dah Oblak masiiih aja nyinyir. Orang<br>Bener kata gusdur lu sampah politik,min kutip kamu itu udah bau tanah kutip dosa itu bibir kamu kutip oblak aja ngomong orang kamu sampah politik
Tengil cocot mu,menyebalkan cocot kamu
Coba istigfar bapak. Jangan menghujat terus umur sudah dekat tanah bapak,coba menghujat umur tanah
Kesurupan abu jahal 😂,surup abu jahal
Wong gemblung,orang gemblung
cangkemmu min.tuwek gk tobat,cangkemmu min tua taubat
Kake sugiono lagi pidato ini,kake sugiono pidato ini
Istighfar Mba ... Kasihan beliau?,mba kasihan beliau
Kamu sendiri manusia yg palinggggg paling terhina tercela tersamph  di dunia tidak pernah sdr diri  anjingggg kau amin rais,kamu manusia hina cela tersamph dunia sdr anjing kau
"Jadi bingung,, amin rais ini muslim atau bukan sih?",bingung ini muslim
Nafasnya aja udah payah ..astaghfirullah,nafas aja udah payah astaghfirullah
jd inget lagu Gelandangan nya Bang Haji Rhoma Irama hey Gelandangan Politik,lagu gelandangan nya bang haji rhoma irama hey gelandangan politik
Sedikit tidak jokowi jadi presiden trs sik mbah ni ngebacot. Emang prestasi nya apa wk wk.  Malah fitnah orang toxic lagi. 😅 dasar mbah aliran kebencian memang,presiden trs sik kakek ini ngebacot emang prestasi nya wk wk fitnah orang toxic dasar kakek alir benci
"Iki mbahe sopo yo rek ucul ko rumkit jiwa, ngoceh rusuh wis pikun tapi semangate kuat tenin mergo kalah sakkabehe..<br>Amit2 jabang bayik ojo ono sik tirun sakne eram....muga2 gusti mberkahi pk jokowi...walaupun dicap presiden terburuk...",ini mbahe sopo iya rek ucul rumkit jiwa ngoceh rusuh lupa semangate kuat tenin mergo kalah sakabehe amit jabang bayik ojo ono sik tirun sakne eram muga gusti mberkahi cap presiden terburuk
Mbah sengkuni janjinya  wes  ditepati urung? Iri mu  arep  mbok  gowo  tekan sak  modarmu mbah... Agama mu  islam  tapi  kok  pekok mu  ndadi.,kakek licik janji tepat urung iri kamu arep gowo tekan sak modar kakek agama kamu kok kamu ndadi
😂😂😂 kalau kamu ...amin rais...manusia terburuk...diindonesia...karena dah tua tak tahu diri...bisanya hanya cari kesalahan orang lain...tanpa mau ngaca kayak apa mukamu yg sebenarnya..,kamu manusia terburuk indonesia tua bisa cari salah orang kaca kayak muka
"Tolooooong.....dokter, ini ada orang ngamuk",tolong dokter ini orang ngamuk
"KLAO INI BARU CALON SUDAH GAGAL TOTAL, JANJI ENGKLEK YOGYA JAKARTA BOHONG, NGIBUL, NGAPUSI MAKANYA MASYARAKAT OGAH MENDUKUNG",klao ini calon gagal total janji engklek yogya jakarta bohong ngibul ngapusi masyarakat ogah dukung
Saya kecewa punya prof. Ar ko makin tua makin  JD tai babii,kecewa profesor ar tua tai babi
OMONG TAEEEK MIIIIIINNNNNNN..,omong taek min
Klo km min apa...,kamu min
Profesor tergoblok ya min rakus,profesor tergoblok ya min serakah
Mempermalukan Almamater,malu almamater
"Yang bilang jokowi buruk itu Orang hatinya busuk, Orang iri dengki dan  otaknya koplak.",bilang buruk itu orang hati busuk orang iri dengki otak koplak
"Orang tahu tentang Agama ko bicaranya seperti itu, mengganti nama seseorang dengan sebutan menghina dan men cari2 kesalahan orang lain.... ga etis banget.",orang agama bicara itu anti nama sebut menghina cari salah orang etis sangat
dari bicaranya dia .. sudah teridentikasi bahwa dia udah gejalah seteookkk ringan 😂😂😂😂 tnggal tnggu wktu ..,bicara dia teridentikasi dia udah gejalah seteok ringan tngal tngu wktu
"pasien rsj ,..lg tesrimoni bagaimana isi otak dia,...<br>sakit hati aja ngk di pakek...😂",pasien rsj tesrimoni isi otak dia sakit hati aja ngk pakek
Wawww...mantaaap pidato .prof..MULYONO AMIN  RA IS MIN IMIN.....,wa pidato profesor min imin
😂😂😂 inget waktu pelantikan  presiden njenengan yg plonga plongo mbah,lantik presiden njenengan bingung bingung kakek
"AMIN RAIS,,,!  SUDAH TUA.  SUDAH BAU TANAH.  MBOK IYA NGOMONG DI ATUR.   YG PLANGA PLONGO  AMIN RAIS. SENDIRI   , BIKIN PARTAI SAJA AMIN RAIS NGGAK LAKU , PLANGA PLONGO SENDIRI ,,",tua bau tanah iya ngomong atur planga bingung bikin partai laku planga bingung
"Amin rais MIRIP PENGAMEN DI LAMPU MERAH . . . . . ,",amen lampu merah
Amien Rais . Depresi ngomong aja gak jelas,depresi ngomong aja
Bau bangke ente,bau bangke ente
Yg. Goblok. Lu amin rais,goblok kamu
Sungguh prihatin dengan usianya yg sdh lanjut...masih sempat sempatnya mengolok-olok presidennya sendiri.<br><br>Sungguh terlaluu...😂😂,sungguh prihatin usia sempat mengolok olok presiden sungguh
Amin Rais = Sangkuni,sangkuni
Ini orang pikun....wes tua...kakean polah,ini orang lupa tua kakean polah
Udah bung udah tua  ga usah menghina orang...urus diri sendiri..nt sendiri ga bener bung..,udah udah tua menghina orang urus nt
Bpk yg mpr terpuruk slama menjabat ga ada hasilnya apa2,puruk slama jabat hasil
Rais parah perusak negara Reformasi dah hancur kabur...... Pinter banyak dungu nya terparah,parah usak negara reformasi hancur kabur pintar dungu nya parah
Besuk kita ajak mbah Amien jalan kaki menuju istana.... Setuju ...,besuk ajak kakek jalan kaki istana tuju
Min amin,min
"Cocotmu terburuk se-Indonesia, dapurmu terburuk sedunia",cocotmu terburuk indonesia dapur terburuk dunia
"Uwes tuwek tapi mangkin pesong, itula akibat uda gk dipercaya lagi ama pejabat2 lain klu jaman suharto orang tuek ini uda pinda alam.",uwes tua mangkin pesong itula akibat percaya ama jabat jaman suharto orang tua ini pinda alam
"Mesakke banget, wis tuwo arep nyemplung blumbang isih demen ngelek elek liyan, ora gelem tobat",mesake sangat tuwo arep nyemplung blumbang isih demen ngelek elek liyan gelem taubat
Orang yang tenggelam dalam dendam. Apa yang keluar dari mulutnya hanya akan menistakan dirinya sendiri.,orang tengelam dendam mulut nista
Pak Jokowi ituh menurut ku sangat bagus dn rendah hati membatu sesama masarakat kok.. aku aja bangga banget pak Jokowi pernah menjadi presiden kami,ituh ku sangat bagus rendah hati batu masarakat aku aja bangga sangat presiden
Segampang itukah bapak menjustice orang,gampang menjustice orang
Masya allah...aki2 ini bukannya bnykin ibadah ya kok malah nyinyir mulutnya...dasar gelandangan politik,masya kakek ini bnykin ibadah ya ngomong mulut dasar gelandangan politik
Bodoh tu kau..,bodoh itu kau
Manusia tua Bangka gila,manusia tua bangka gila
Cangkemem mbah,cangkemem kakek
"Insaf,udah tua banyakin amal baik,wong tinggal nunggu pagi sore,nunggu di panggil malikat",insaf udah tua banyakin amal orang tinggal nunggu pagi sore nunggu panggil malikat
Sengkuni di dunia nyata nih,licik dunia nyata ini
Hadeeeeehhhhc nek,hadehc nek
Sak karepmu mbah arep ngomong opo... Ngantuk obat mbah,sak karepmu kakek arep ngomong ngantuk obat kakek
Amin Raes setet,raes setet
Terburuk? Hanya bagi anda dan komplotan anda. Jokowi tlh sukses memimpin selama 2 periode dan disukai banyak masyarakatnya. Ini fakta,terburuk komplot tlh sukses pimpin periode suka masyarakat ini fakta
P4RAH mbah amin ini..<br>klo jaman soeharto udah habis ni si mbah,prah kakek ini jaman soeharto udah habis ini si kakek
"Kasian banget orang ini,",kasi sangat orang ini
